Display Name,Organization,Entity Type,Stance,Comment Letter
U.S. Steel Corporation,United States Steel Corporation,large_corporation,Concerned,"May 10, 2026

To: The Environmental Protection Agency
From: U.S. Steel Corporation
Organization: United States Steel Corporation
Subject: Formal Comment on Proposed Rulemaking

United States Steel Corporation, a global leader in integrated steel manufacturing, appreciates the opportunity to comment. We are committed to sustainability, yet the specific operational complexities of our industry require careful regulatory tailoring.

Our analysis of the proposal highlights significant implications for compliance_cost, operational_burden, economic_impact. Specifically, our ability to comply is affected by aging infrastructure requiring phased upgrades, international competition from less-regulated producers, union workforce considerations. Success in this rulemaking requires a pragmatic approach. We suggest the agency expressing concern about compliance costs for legacy facilities, requesting plant-specific flexibility and phased implementation schedules. to ensure effective implementation.

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

U.S. Steel Corporation"
Natural Resources Defense Council,Natural Resources Defense Council,advocacy_org,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Natural Resources Defense Council
Organization: Natural Resources Defense Council
Subject: Formal Comment on Proposed Rulemaking

On behalf of Natural Resources Defense Council and our mission to support environmental policy research and advocacy, Clean Air Act and Clean Water Act campaigns, we strongly urge the EPA to consider the vital protections afforded by this rule.

Our analysis of the proposal highlights significant implications for public_health, environmental_protection, climate_action. Specifically, our ability to comply is affected by scientific credibility requirements, legal precedent adherence, coalition coordination with other NGOs. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency supporting the rule, recommending specific strengthening measures, and rebutting industry cost estimates with independent analysis..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Natural Resources Defense Council"
Texas Commission on Environmental Quality,Texas Commission on Environmental Quality,government_agency,Opposed,"May 10, 2026

To: The Environmental Protection Agency
From: Texas Commission on Environmental Quality
Organization: Texas Commission on Environmental Quality
Subject: Formal Comment on Proposed Rulemaking

The Texas Commission on Environmental Quality submits these comments to ensure federal standards are harmonized with state-level expertise and existing frameworks in state environmental permitting and enforcement, air quality monitoring network operation.

Our analysis of the proposal highlights significant implications for regulatory_alignment, implementation_timeline, state_authority. Specifically, our ability to comply is affected by cooperative federalism principles, state implementation plan authority, resource limitations for expanded oversight. While we support the spirit of environmental protection, the current approach is overly burdensome. The agency should instead asserting state authority concerns, opposing federal overreach, and requesting flexibility for state-designed compliance approaches..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Texas Commission on Environmental Quality"
"Dr. James Chen, Atmospheric Chemist","MIT Department of Earth, Atmospheric and Planetary Sciences",academic,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Dr. James Chen, Atmospheric Chemist
Organization: MIT Department of Earth, Atmospheric and Planetary Sciences
Subject: Formal Comment on Proposed Rulemaking

As a researcher at MIT Department of Earth, Atmospheric and Planetary Sciences specializing in atmospheric chemistry modeling, I am submitting this technical comment to ensure the agency's final decision is grounded in the most robust and current scientific data.

Our analysis of the proposal highlights significant implications for scientific_integrity, public_health, environmental_protection. Specifically, our ability to comply is affected by peer-review standards, modeling uncertainty quantification, NSF and EPA grant requirements. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency providing atmospheric modeling evidence supporting stricter emission limits and identifying scientific uncertainties the agency should address..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Dr. James Chen, Atmospheric Chemist"
Greenville Dry Cleaners,Greenville Dry Cleaners,small_business,Concerned,"May 10, 2026

To: The Environmental Protection Agency
From: Greenville Dry Cleaners
Organization: Greenville Dry Cleaners
Subject: Formal Comment on Proposed Rulemaking

As the owner of Greenville Dry Cleaners, a small business employing family-owned people, I am deeply concerned about the practicalities of the proposed requirements.

Our analysis of the proposal highlights significant implications for compliance_cost, small_business_viability, implementation_timeline. Specifically, our ability to comply is affected by family-owned with 3 employees, equipment replacement costs exceed annual revenue, no access to alternative technology financing. Success in this rulemaking requires a pragmatic approach. We suggest the agency describing the financial hardship of transitioning away from current solvents, requesting extended timelines and subsidies for small dry cleaners. to ensure effective implementation.

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Greenville Dry Cleaners"
Dow Inc.,Dow Inc.,large_corporation,Concerned,"May 10, 2026

To: The Environmental Protection Agency
From: Dow Inc.
Organization: Dow Inc.
Subject: Formal Comment on Proposed Rulemaking

Dow Inc., a global leader in specialty chemicals and materials manufacturing, appreciates the opportunity to comment. We are committed to sustainability, yet the specific operational complexities of our industry require careful regulatory tailoring.

Our analysis of the proposal highlights significant implications for compliance_cost, operational_burden, implementation_timeline. Specifically, our ability to comply is affected by integrated manufacturing complexes, global supply chain commitments, existing consent decree obligations. Success in this rulemaking requires a pragmatic approach. We suggest the agency acknowledging environmental objectives while requesting clarity on monitoring requirements and flexibility for integrated manufacturing sites. to ensure effective implementation.

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Dow Inc."
WE ACT for Environmental Justice,WE ACT for Environmental Justice,advocacy_org,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: WE ACT for Environmental Justice
Organization: WE ACT for Environmental Justice
Subject: Formal Comment on Proposed Rulemaking

On behalf of WE ACT for Environmental Justice and our mission to support environmental justice advocacy in Northern Manhattan, community-based participatory research, we strongly urge the EPA to consider the vital protections afforded by this rule.

Our analysis of the proposal highlights significant implications for environmental_justice, public_health, community_impact. Specifically, our ability to comply is affected by community representation requirements, health disparity documentation, multilingual outreach needs. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency centering environmental justice, demanding stronger protections for overburdened communities, and requesting cumulative impact analysis..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

WE ACT for Environmental Justice"
"Robert Thompson, Retired Steelworker",N/A,individual,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Robert Thompson, Retired Steelworker
Subject: Formal Comment on Proposed Rulemaking

As a 35 years of employment at steel mill in Gary, Indiana living in the community, I am writing to share my personal experience and support for stronger protections.

Our analysis of the proposal highlights significant implications for public_health, worker_safety, quality_of_life. Specifically, our ability to comply is affected by personal health impacts from workplace exposure, fixed retirement income, limited legal resources. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency draft a personal comment describing decades of industrial exposure, supporting stronger emission controls, and urging protections for workers and surrounding communities..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Robert Thompson, Retired Steelworker"
American Farm Bureau Federation,American Farm Bureau Federation,trade_association,Opposed,"May 10, 2026

To: The Environmental Protection Agency
From: American Farm Bureau Federation
Organization: American Farm Bureau Federation
Subject: Formal Comment on Proposed Rulemaking

The American Farm Bureau Federation represents a broad spectrum of interests in agricultural policy advocacy for 6 million member families, farm income and market access programs. We write today to share our perspectives on the proposed regulatory framework, emphasizing the need for a balance between environmental stewardship and economic viability.

Our analysis of the proposal highlights significant implications for compliance_cost, operational_burden, economic_impact. Specifically, our ability to comply is affected by seasonal agricultural operations, weather-dependent production cycles, thin farm profit margins. While we support the spirit of environmental protection, the current approach is overly burdensome. The agency should instead opposing new agricultural emission requirements, citing food security concerns and requesting agricultural exemptions or simplified compliance pathways..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

American Farm Bureau Federation"
"Dr. Beverly Wright, Environmental Justice Scholar",Dillard University Deep South Center for Environmental Justice,academic,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Dr. Beverly Wright, Environmental Justice Scholar
Organization: Dillard University Deep South Center for Environmental Justice
Subject: Formal Comment on Proposed Rulemaking

As a researcher at Dillard University Deep South Center for Environmental Justice specializing in environmental justice research in Gulf South, I am submitting this technical comment to ensure the agency's final decision is grounded in the most robust and current scientific data.

Our analysis of the proposal highlights significant implications for environmental_justice, public_health, community_impact. Specifically, our ability to comply is affected by HBCU resource limitations, community partnership obligations, disaster recovery competing priorities. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency grounded in environmental justice scholarship, documenting disproportionate impacts on Gulf South communities and demanding equitable protections..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Dr. Beverly Wright, Environmental Justice Scholar"
National Mining Association,National Mining Association,trade_association,Opposed,"May 10, 2026

To: The Environmental Protection Agency
From: National Mining Association
Organization: National Mining Association
Subject: Formal Comment on Proposed Rulemaking

The National Mining Association represents a broad spectrum of interests in coal and hardrock mining industry advocacy, mine safety and reclamation policy. We write today to share our perspectives on the proposed regulatory framework, emphasizing the need for a balance between environmental stewardship and economic viability.

Our analysis of the proposal highlights significant implications for compliance_cost, economic_impact, energy_reliability. Specifically, our ability to comply is affected by remote operational locations, long-term mine planning cycles, reclamation bond requirements. While we support the spirit of environmental protection, the current approach is overly burdensome. The agency should instead opposing new emission limits for mining operations, arguing they threaten domestic mineral supply and energy independence..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

National Mining Association"
Patagonia Inc.,Patagonia Inc.,large_corporation,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Patagonia Inc.
Organization: Patagonia Inc.
Subject: Formal Comment on Proposed Rulemaking

Patagonia Inc., a global leader in outdoor apparel manufacturing and retail, appreciates the opportunity to comment. We are committed to sustainability, yet the specific operational complexities of our industry require careful regulatory tailoring.

Our analysis of the proposal highlights significant implications for environmental_protection, corporate_responsibility, climate_action. Specifically, our ability to comply is affected by B-Corp certification standards, supply chain transparency commitments, consumer expectations for sustainability. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency from a business perspective supporting strong environmental standards, arguing that regulation creates a level playing field for responsible companies..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Patagonia Inc."
New York State Department of Environmental Conservation,New York State Department of Environmental Conservation,government_agency,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: New York State Department of Environmental Conservation
Organization: New York State Department of Environmental Conservation
Subject: Formal Comment on Proposed Rulemaking

The New York State Department of Environmental Conservation submits these comments to ensure federal standards are harmonized with state-level expertise and existing frameworks in state environmental regulation and permitting, climate leadership and industrial strategy.

Our analysis of the proposal highlights significant implications for regulatory_alignment, climate_action, environmental_justice. Specifically, our ability to comply is affected by Climate Leadership and Community Protection Act mandates, federal-state regulatory harmonization, environmental justice screening requirements. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency supporting the rule, noting alignment with New York's climate mandates, and urging the agency to incorporate environmental justice screening..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

New York State Department of Environmental Conservation"
"Susan Park, Suburban Homeowner",N/A,individual,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Susan Park, Suburban Homeowner
Subject: Formal Comment on Proposed Rulemaking

As a homeowner near Superfund site in New Jersey living in the community, I am writing to share my personal experience and support for stronger protections.

Our analysis of the proposal highlights significant implications for public_health, property_value, quality_of_life. Specifically, our ability to comply is affected by non-expert in environmental science, property value concerns, children's health as primary motivator. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency draft a personal comment expressing concern about contamination near her home, supporting stricter cleanup standards, and requesting transparent community notification..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Susan Park, Suburban Homeowner"
American Lung Association,American Lung Association,advocacy_org,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: American Lung Association
Organization: American Lung Association
Subject: Formal Comment on Proposed Rulemaking

On behalf of American Lung Association and our mission to support lung health research and advocacy, State of the Air annual reporting, we strongly urge the EPA to consider the vital protections afforded by this rule.

Our analysis of the proposal highlights significant implications for public_health, environmental_protection, healthcare_costs. Specifically, our ability to comply is affected by medical evidence standards, patient population advocacy obligations, nonpartisan health organization positioning. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency citing respiratory health data supporting stronger air quality standards, with emphasis on vulnerable populations including children and elderly..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

American Lung Association"
Duke Energy Corporation,Duke Energy Corporation,large_corporation,Concerned,"May 10, 2026

To: The Environmental Protection Agency
From: Duke Energy Corporation
Organization: Duke Energy Corporation
Subject: Formal Comment on Proposed Rulemaking

Duke Energy Corporation, a global leader in electric utility generation and distribution, appreciates the opportunity to comment. We are committed to sustainability, yet the specific operational complexities of our industry require careful regulatory tailoring.

Our analysis of the proposal highlights significant implications for compliance_cost, energy_reliability, implementation_timeline. Specifically, our ability to comply is affected by rate-regulated utility cost recovery, grid reliability obligations, coal ash remediation commitments. Success in this rulemaking requires a pragmatic approach. We suggest the agency requesting phased compliance timelines aligned with planned generation fleet transitions, and clarity on cost recovery through rate proceedings. to ensure effective implementation.

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Duke Energy Corporation"
National Tribal Air Association,National Tribal Air Association,advocacy_org,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: National Tribal Air Association
Organization: National Tribal Air Association
Subject: Formal Comment on Proposed Rulemaking

On behalf of National Tribal Air Association and our mission to support tribal air quality program support, federal trust responsibility advocacy, we strongly urge the EPA to consider the vital protections afforded by this rule.

Our analysis of the proposal highlights significant implications for environmental_justice, tribal_sovereignty, public_health. Specifically, our ability to comply is affected by tribal sovereignty considerations, limited tribal environmental program funding, consultation requirements under Executive Orders. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency emphasizing tribal consultation obligations, requesting dedicated tribal compliance assistance, and supporting protective standards for tribal lands..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

National Tribal Air Association"
Sunrise Bakery LLC,Sunrise Bakery LLC,small_business,Concerned,"May 10, 2026

To: The Environmental Protection Agency
From: Sunrise Bakery LLC
Organization: Sunrise Bakery LLC
Subject: Formal Comment on Proposed Rulemaking

As the owner of Sunrise Bakery LLC, a small business employing 12 people, I am deeply concerned about the practicalities of the proposed requirements.

Our analysis of the proposal highlights significant implications for compliance_cost, small_business_viability, operational_burden. Specifically, our ability to comply is affected by 12 employees and single facility, food-grade equipment requirements limit retrofitting, razor-thin margins in wholesale baking. Success in this rulemaking requires a pragmatic approach. We suggest the agency requesting small food manufacturer exemptions, simplified emission reporting, and financial assistance for equipment upgrades. to ensure effective implementation.

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Sunrise Bakery LLC"
"Dr. Robert Bullard, Father of Environmental Justice",Texas Southern University Bullard Center for Environmental and Climate Justice,academic,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Dr. Robert Bullard, Father of Environmental Justice
Organization: Texas Southern University Bullard Center for Environmental and Climate Justice
Subject: Formal Comment on Proposed Rulemaking

As a researcher at Texas Southern University Bullard Center for Environmental and Climate Justice specializing in environmental justice research and policy development, I am submitting this technical comment to ensure the agency's final decision is grounded in the most robust and current scientific data.

Our analysis of the proposal highlights significant implications for environmental_justice, public_health, community_impact. Specifically, our ability to comply is affected by decades of established research frameworks, community accountability standards, peer-review and academic rigor. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency rooted in environmental justice framework, demanding cumulative impact assessment and prioritization of historically overburdened communities..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Dr. Robert Bullard, Father of Environmental Justice"
3M Company,3M Company,large_corporation,Concerned,"May 10, 2026

To: The Environmental Protection Agency
From: 3M Company
Organization: 3M Company
Subject: Formal Comment on Proposed Rulemaking

3M Company, a global leader in diversified manufacturing across 60,000+ products, appreciates the opportunity to comment. We are committed to sustainability, yet the specific operational complexities of our industry require careful regulatory tailoring.

Our analysis of the proposal highlights significant implications for compliance_cost, implementation_timeline, operational_burden. Specifically, our ability to comply is affected by PFAS litigation and remediation obligations, multi-site global manufacturing complexity, product reformulation timelines. Success in this rulemaking requires a pragmatic approach. We suggest the agency requesting clear, science-based standards for PFAS, realistic phase-out timelines, and recognition of voluntary discontinuation efforts. to ensure effective implementation.

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

3M Company"
Clean Air Task Force,Clean Air Task Force,advocacy_org,Supportive,"May 10, 2026

To: The Environmental Protection Agency
From: Clean Air Task Force
Organization: Clean Air Task Force
Subject: Formal Comment on Proposed Rulemaking

On behalf of Clean Air Task Force and our mission to support technology-focused clean energy advocacy, methane and super-pollutant reduction campaigns, we strongly urge the EPA to consider the vital protections afforded by this rule.

Our analysis of the proposal highlights significant implications for climate_action, environmental_protection, public_health. Specifically, our ability to comply is affected by technology feasibility assessments, cost-effectiveness analysis standards, bipartisan engagement approach. We believe the current proposal is a critical step forward, but it must go further. We specifically recommend that the agency draft a technically detailed comment supporting emission limits, demonstrating technology availability, and providing cost-effectiveness data for proposed controls..

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Clean Air Task Force"
Ohio Environmental Protection Agency,Ohio Environmental Protection Agency,government_agency,Concerned,"May 10, 2026

To: The Environmental Protection Agency
From: Ohio Environmental Protection Agency
Organization: Ohio Environmental Protection Agency
Subject: Formal Comment on Proposed Rulemaking

The Ohio Environmental Protection Agency submits these comments to ensure federal standards are harmonized with state-level expertise and existing frameworks in state air and water quality permitting, environmental enforcement in industrial Midwest.

Our analysis of the proposal highlights significant implications for regulatory_alignment, implementation_timeline, state_authority. Specifically, our ability to comply is affected by industrial state economy considerations, limited inspection workforce, existing state implementation plan commitments. Success in this rulemaking requires a pragmatic approach. We suggest the agency requesting adequate federal funding for state implementation, flexible compliance schedules, and recognition of state-specific industrial conditions. to ensure effective implementation.

We appreciate the EPA's consideration of these points. We believe that by incorporating these refinements, the final rule will more effectively serve the public interest while respecting the operational realities of those it regulates.

Sincerely,

Ohio Environmental Protection Agency"
