display_name,organization,stance,comment_letter
Center for Science in the Public Interest,Center for Science in the Public Interest,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Center for Science in the Public Interest appreciates the opportunity to provide these formal comments. As an entity engaged in food labeling and nutrition advocacy, food additive safety campaigns, litigation against misleading food marketing, our perspective is deeply informed by our operational environment, which includes scientific evidence standards for advocacy, FOIA-based research access, nonprofit resource limitations.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting front-of-package nutrition labeling, banning unsafe food additives, and requiring transparency in GRAS determinations.

The proposed changes will directly impact our operations in the following areas: public_health, consumer_protection, regulatory_transparency. We urge the Agency to consider these factors, particularly how they affect public health, consumer protection, regulatory transparency, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Center for Science in the Public Interest
Center for Science in the Public Interest"
National Association of State Departments of Agriculture,National Association of State Departments of Agriculture,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

National Association of State Departments of Agriculture appreciates the opportunity to provide these formal comments. As an entity engaged in state-level food safety program coordination, agricultural product inspection and labeling, interstate commerce food safety harmonization, our perspective is deeply informed by our operational environment, which includes varying state inspection capacities, federal-state jurisdiction overlap, agricultural economy impacts.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment requesting adequate transition timelines, federal support for state implementation, and recognition of existing state food safety programs.

The proposed changes will directly impact our operations in the following areas: regulatory_alignment, implementation_timeline, state_authority. We urge the Agency to consider these factors, particularly how they affect regulatory alignment, implementation timeline, state authority, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

National Association of State Departments of Agriculture
National Association of State Departments of Agriculture"
"Dr. Marion Nestle, Food Policy Scholar",New York University Department of Nutrition and Food Studies,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

New York University Department of Nutrition and Food Studies appreciates the opportunity to provide these formal comments. As an entity engaged in food industry influence and policy research, nutrition labeling and marketing analysis, food system transparency advocacy, our perspective is deeply informed by our operational environment, which includes academic independence from industry funding, peer-review standards, public communication of complex science.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting mandatory front-of-package labeling, citing evidence of industry marketing impacts on diet, and recommending conflict-of-interest reforms in FDA advisory panels.

The proposed changes will directly impact our operations in the following areas: public_health, consumer_protection, scientific_integrity. We urge the Agency to consider these factors, particularly how they affect public health, consumer protection, scientific integrity, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Dr. Marion Nestle, Food Policy Scholar
New York University Department of Nutrition and Food Studies"
Medtronic plc,Medtronic plc,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Medtronic plc appreciates the opportunity to provide these formal comments. As an entity engaged in cardiac and vascular medical device manufacturing, surgical robotics and neuroscience devices, diabetes management technology, our perspective is deeply informed by our operational environment, which includes 510(k) and PMA pathway dependencies, global regulatory convergence needs, post-market clinical follow-up obligations.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment requesting clear De Novo and breakthrough device pathway guidance, international regulatory harmonization, and predictable review timelines.

The proposed changes will directly impact our operations in the following areas: compliance_cost, innovation_impact, implementation_timeline. We urge the Agency to consider these factors, particularly how they affect compliance cost, innovation impact, implementation timeline, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Medtronic plc
Medtronic plc"
National Consumers League,National Consumers League,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

National Consumers League appreciates the opportunity to provide these formal comments. As an entity engaged in consumer product safety advocacy, prescription drug affordability campaigns, fraud and counterfeit drug prevention, our perspective is deeply informed by our operational environment, which includes consumer education accessibility requirements, diverse consumer population needs, nonprofit resource constraints.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting consumer protections against counterfeit drugs, clearer product labeling, and expanded access to affordable medications.

The proposed changes will directly impact our operations in the following areas: consumer_protection, patient_access, affordability. We urge the Agency to consider these factors, particularly how they affect consumer protection, patient access, affordability, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

National Consumers League
National Consumers League"
Mike's Artisan Cheese,Mike's Artisan Cheese,opposed,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Mike's Artisan Cheese appreciates the opportunity to provide these formal comments. As an entity engaged in small-batch artisanal cheese production, raw milk cheese aging and distribution, farmers market and specialty retail sales, our perspective is deeply informed by our operational environment, which includes 5 employees on family farm, 60-day raw milk cheese aging rule compliance, FSMA-related recordkeeping burden.

We write today to oppose the proposed regulatory framework. Our primary feedback is as follows: Draft a comment opposing one-size-fits-all food safety rules for artisanal producers, requesting FSMA exemptions for small-scale operations, and defending traditional cheesemaking methods.

The proposed changes will directly impact our operations in the following areas: compliance_cost, small_business_viability, operational_burden. We urge the Agency to consider these factors, particularly how they affect compliance cost, small business viability, operational burden, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Mike's Artisan Cheese
Mike's Artisan Cheese"
American Society of Clinical Oncology,American Society of Clinical Oncology,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

American Society of Clinical Oncology appreciates the opportunity to provide these formal comments. As an entity engaged in oncology clinical practice guideline development, cancer clinical trial advocacy, drug approval and access policy, our perspective is deeply informed by our operational environment, which includes evidence-based treatment standard requirements, accelerated approval post-market confirmation needs, patient access during ongoing trials.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting rigorous accelerated approval standards, mandatory confirmatory trial timelines, and expanded access for cancer patients with unmet needs.

The proposed changes will directly impact our operations in the following areas: patient_safety, patient_access, clinical_practice. We urge the Agency to consider these factors, particularly how they affect patient safety, patient access, clinical practice, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

American Society of Clinical Oncology
American Society of Clinical Oncology"
Grocery Manufacturers Association (Consumer Brands Association),Consumer Brands Association,opposed,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Consumer Brands Association appreciates the opportunity to provide these formal comments. As an entity engaged in packaged food and beverage industry advocacy, food labeling and ingredient policy, supply chain and food safety coordination, our perspective is deeply informed by our operational environment, which includes diverse product portfolio across thousands of SKUs, label redesign and printing costs, consumer communication complexity.

We write today to oppose the proposed regulatory framework. Our primary feedback is as follows: Draft a comment opposing front-of-package labeling mandates, requesting voluntary approaches, and citing label redesign costs and consumer confusion risks.

The proposed changes will directly impact our operations in the following areas: compliance_cost, operational_burden, implementation_timeline. We urge the Agency to consider these factors, particularly how they affect compliance cost, operational burden, implementation timeline, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Grocery Manufacturers Association (Consumer Brands Association)
Consumer Brands Association"
"James Wilson, Cancer Patient Advocate",,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

James Wilson, Cancer Patient Advocate appreciates the opportunity to provide these formal comments. As an entity engaged in Stage IV lung cancer patient on immunotherapy, clinical trial participant, online patient community moderator, our perspective is deeply informed by our operational environment, which includes urgency of access to experimental treatments, insurance coverage challenges, treatment-related quality of life impacts.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a personal comment supporting accelerated approval for cancer treatments, expanded access programs, and patient voice in FDA advisory committees.

The proposed changes will directly impact our operations in the following areas: patient_access, patient_safety, quality_of_life. We urge the Agency to consider these factors, particularly how they affect patient access, patient safety, quality of life, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

James Wilson, Cancer Patient Advocate
James Wilson, Cancer Patient Advocate"
Abbott Laboratories,Abbott Laboratories,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Abbott Laboratories appreciates the opportunity to provide these formal comments. As an entity engaged in medical device and diagnostic manufacturing, infant formula and nutritional products, continuous glucose monitoring systems, our perspective is deeply informed by our operational environment, which includes infant formula safety and supply chain obligations, diagnostic device emergency use authorization transitions, global manufacturing site compliance.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment requesting clear post-EUA transition guidance for diagnostics, infant formula supply resilience standards, and manufacturing inspection harmonization.

The proposed changes will directly impact our operations in the following areas: compliance_cost, implementation_timeline, operational_burden. We urge the Agency to consider these factors, particularly how they affect compliance cost, implementation timeline, operational burden, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Abbott Laboratories
Abbott Laboratories"
Campaign for Tobacco-Free Kids,Campaign for Tobacco-Free Kids,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Campaign for Tobacco-Free Kids appreciates the opportunity to provide these formal comments. As an entity engaged in youth tobacco and nicotine prevention advocacy, e-cigarette and flavored tobacco opposition, FDA tobacco regulatory authority campaigns, our perspective is deeply informed by our operational environment, which includes youth protection mandate focus, preemption and state law considerations, industry litigation challenges.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting flavored tobacco product bans, menthol cigarette prohibition, and stronger enforcement against unauthorized e-cigarette sales to minors.

The proposed changes will directly impact our operations in the following areas: public_health, youth_protection, regulatory_enforcement. We urge the Agency to consider these factors, particularly how they affect public health, youth protection, regulatory enforcement, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Campaign for Tobacco-Free Kids
Campaign for Tobacco-Free Kids"
"Dr. Robert Califf, Former FDA Commissioner",Duke University School of Medicine,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Duke University School of Medicine appreciates the opportunity to provide these formal comments. As an entity engaged in clinical trial design and real-world evidence research, FDA modernization and regulatory science, cardiovascular outcomes research, our perspective is deeply informed by our operational environment, which includes former FDA leadership perspective and recusal obligations, academic-industry collaboration transparency, clinical evidence generation standards.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting real-world evidence integration in regulatory decisions, modernized clinical trial designs, and enhanced post-market surveillance systems.

The proposed changes will directly impact our operations in the following areas: scientific_integrity, innovation_impact, regulatory_transparency. We urge the Agency to consider these factors, particularly how they affect scientific integrity, innovation impact, regulatory transparency, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Dr. Robert Califf, Former FDA Commissioner
Duke University School of Medicine"
National Community Pharmacists Association,National Community Pharmacists Association,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

National Community Pharmacists Association appreciates the opportunity to provide these formal comments. As an entity engaged in independent pharmacy advocacy for 19,400+ members, compounding pharmacy regulation engagement, pharmacy benefit manager reform campaigns, our perspective is deeply informed by our operational environment, which includes member pharmacies averaging 8-10 employees, USP compliance costs for compounding, PBM reimbursement below cost pressures.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment opposing compounding regulations that disproportionately burden small pharmacies, requesting tiered compliance based on risk and volume.

The proposed changes will directly impact our operations in the following areas: compliance_cost, small_business_viability, patient_access. We urge the Agency to consider these factors, particularly how they affect compliance cost, small business viability, patient access, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

National Community Pharmacists Association
National Community Pharmacists Association"
Amgen Inc.,Amgen Inc.,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Amgen Inc. appreciates the opportunity to provide these formal comments. As an entity engaged in biotechnology drug and biosimilar development, biologic manufacturing and supply chain, post-market safety monitoring programs, our perspective is deeply informed by our operational environment, which includes biologic manufacturing complexity and batch variability, biosimilar interchangeability standards, cold chain distribution requirements.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment requesting clear biosimilar interchangeability guidance, science-based manufacturing change requirements, and recognition of biologic complexity.

The proposed changes will directly impact our operations in the following areas: compliance_cost, innovation_impact, implementation_timeline. We urge the Agency to consider these factors, particularly how they affect compliance cost, innovation impact, implementation timeline, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Amgen Inc.
Amgen Inc."
American Academy of Pediatrics,American Academy of Pediatrics,supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

American Academy of Pediatrics appreciates the opportunity to provide these formal comments. As an entity engaged in pediatric health policy and clinical guidance, children's drug formulation advocacy, food safety and nutrition standards for children, our perspective is deeply informed by our operational environment, which includes pediatric population vulnerability considerations, off-label prescribing concerns, child-specific dosage form needs.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting pediatric drug formulation requirements, children's food additive safety reviews, and lead contamination standards for baby food.

The proposed changes will directly impact our operations in the following areas: patient_safety, public_health, youth_protection. We urge the Agency to consider these factors, particularly how they affect patient safety, public health, youth protection, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

American Academy of Pediatrics
American Academy of Pediatrics"
Healthy Harvest Organic Farm,Healthy Harvest Organic Farm,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Healthy Harvest Organic Farm appreciates the opportunity to provide these formal comments. As an entity engaged in certified organic produce cultivation, farm-to-table direct sales and CSA, on-farm processing of jams and pickles, our perspective is deeply informed by our operational environment, which includes 8-person seasonal workforce, FSMA Produce Safety Rule compliance costs, water testing and recordkeeping burden.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment requesting continued qualified exemptions for small farms under FSMA, simplified recordkeeping, and recognition of organic farming food safety practices.

The proposed changes will directly impact our operations in the following areas: compliance_cost, small_business_viability, operational_burden. We urge the Agency to consider these factors, particularly how they affect compliance cost, small business viability, operational burden, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Healthy Harvest Organic Farm
Healthy Harvest Organic Farm"
National Association of Chain Drug Stores,National Association of Chain Drug Stores,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

National Association of Chain Drug Stores appreciates the opportunity to provide these formal comments. As an entity engaged in chain pharmacy advocacy for 40,000+ locations, pharmacy practice scope expansion, behind-the-counter drug access policy, our perspective is deeply informed by our operational environment, which includes high-volume dispensing operational demands, pharmacy technician staffing shortages, state-by-state regulatory variation.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting OTC switch pathways that maintain pharmacy involvement, requesting pharmacy technician scope expansion, and opposing unfunded compliance mandates.

The proposed changes will directly impact our operations in the following areas: compliance_cost, operational_burden, patient_access. We urge the Agency to consider these factors, particularly how they affect compliance cost, operational burden, patient access, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

National Association of Chain Drug Stores
National Association of Chain Drug Stores"
"Dr. Peter Lurie, Former FDA Associate Commissioner",Center for Science in the Public Interest (President),supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Center for Science in the Public Interest (President) appreciates the opportunity to provide these formal comments. As an entity engaged in drug and device safety policy research, regulatory science and transparency advocacy, conflict of interest reform campaigns, our perspective is deeply informed by our operational environment, which includes former FDA official perspective, nonprofit organizational constraints, evidence-based advocacy standards.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting stronger post-market safety surveillance, advisory committee conflict-of-interest reforms, and proactive FDA enforcement.

The proposed changes will directly impact our operations in the following areas: patient_safety, regulatory_transparency, scientific_integrity. We urge the Agency to consider these factors, particularly how they affect patient safety, regulatory transparency, scientific integrity, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Dr. Peter Lurie, Former FDA Associate Commissioner
Center for Science in the Public Interest (President)"
Boston Scientific Corporation,Boston Scientific Corporation,concerned,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Boston Scientific Corporation appreciates the opportunity to provide these formal comments. As an entity engaged in interventional medical device manufacturing, cardiac rhythm management devices, endoscopy and urology device development, our perspective is deeply informed by our operational environment, which includes iterative device improvement cycles, clinical evidence generation costs, 510(k) predicate device pathway dependencies.

We write today to have concerns regarding the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting the 510(k) pathway with modernization, requesting clear clinical evidence expectations, and opposing wholesale shifts to PMA for established device categories.

The proposed changes will directly impact our operations in the following areas: compliance_cost, innovation_impact, implementation_timeline. We urge the Agency to consider these factors, particularly how they affect compliance cost, innovation impact, implementation timeline, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Boston Scientific Corporation
Boston Scientific Corporation"
Food Allergy Research & Education,Food Allergy Research & Education (FARE),supportive,"RE: Formal Comments on FDA Proposed Rulemaking

Dear Commissioner,

Food Allergy Research & Education (FARE) appreciates the opportunity to provide these formal comments. As an entity engaged in food allergen labeling advocacy, anaphylaxis prevention and treatment access, food allergy research funding campaigns, our perspective is deeply informed by our operational environment, which includes 32 million Americans with food allergies, sesame and other emerging allergen labeling needs, advisory labeling inconsistency concerns.

We write today to support the proposed regulatory framework. Our primary feedback is as follows: Draft a comment supporting expanded allergen labeling requirements, standardized precautionary allergen labeling, and epinephrine auto-injector access improvements.

The proposed changes will directly impact our operations in the following areas: patient_safety, consumer_protection, public_health. We urge the Agency to consider these factors, particularly how they affect patient safety, consumer protection, public health, to ensure that the final rule achieves its public health objectives without unintended consequences for the regulated community and the patients we serve.

We look forward to continued engagement with the FDA on this matter.

Sincerely,

Food Allergy Research & Education
Food Allergy Research & Education (FARE)"
