Display Name,Organization,Stance,Comment Letter
Truck Safety Coalition,Truck Safety Coalition,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Truck Safety Coalition

On behalf of Truck Safety Coalition, an organization dedicated to truck crash victim advocacy and family support, underride guard and speed limiter campaigns, we submit these comments to ensure that public safety remains the paramount consideration in this rulemaking process.

Our perspective is informed by several critical operational constraints, including crash victim family emotional and legal needs, FMCSA crash data FOIA limitations, industry opposition to safety mandates. Furthermore, we anticipate that the proposed changes will significantly impact public safety, crash reduction, regulatory enforcement.

Based on these considerations, we strongly recommend the following: From crash victim families supporting underride guard standards, speed limiter mandates, and enhanced carrier safety rating transparency.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Truck Safety Coalition
Truck Safety Coalition"
National Private Truck Council,National Private Truck Council,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - National Private Truck Council

The National Private Truck Council represents a vital sector of the transportation industry, specifically focused on private fleet operator advocacy (Walmart, Sysco, PepsiCo fleets), fleet safety benchmarking and best practices. We appreciate the opportunity to comment on the proposed regulatory changes.

Our perspective is informed by several critical operational constraints, including private fleets operate under different economic model than for-hire, dedicated routes reduce fatigue risk profile, higher safety performance than industry average. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, operational burden, regulatory alignment.

Based on these considerations, we strongly recommend the following: Requesting recognition of private fleet safety performance, risk-based regulatory approaches, and exemptions where private fleet data demonstrates lower crash risk.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

National Private Truck Council
National Private Truck Council"
Schneider National Inc.,Schneider National Inc.,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Schneider National Inc.

Schneider National Inc. operates extensive networks involving truckload, intermodal, and logistics services, fleet of 9,500+ tractors with advanced safety systems. We are committed to safety and operational excellence and offer these insights based on our extensive field experience.

Our perspective is informed by several critical operational constraints, including driver training investment and apprenticeship programs, safety technology deployment across large fleet, multi-state regulatory compliance coordination. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, driver retention, implementation timeline.

Based on these considerations, we strongly recommend the following: Supporting apprenticeship program regulatory approval, safety technology incentives, and recognition of carrier investment in driver development.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Schneider National Inc.
Schneider National Inc."
National Transportation Safety Board,National Transportation Safety Board,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - National Transportation Safety Board

I am writing as an individual with significant experience in commercial vehicle crash investigation to share my perspective on the proposed safety regulations.

Our perspective is informed by several critical operational constraints, including no regulatory authority (recommendation-only mandate), investigation resource and timeline limitations, open recommendation backlog tracking. Furthermore, we anticipate that the proposed changes will significantly impact public safety, crash reduction, regulatory enforcement.

Based on these considerations, we strongly recommend the following: Supporting implementation of outstanding NTSB recommendations, citing crash investigation findings, and urging action on fatigue and distraction countermeasures.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

National Transportation Safety Board
National Transportation Safety Board"
"Dr. Charles Czeisler, Sleep and Fatigue Scientist",Harvard Medical School Division of Sleep Medicine,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Harvard Medical School Division of Sleep Medicine

As a researcher at Harvard Medical School Division of Sleep Medicine specializing in sleep deprivation and circadian rhythm research, I am providing this technical assessment to assist the FMCSA in grounding its final rule in robust, peer-reviewed evidence.

Our perspective is informed by several critical operational constraints, including controlled laboratory study vs. real-world driving conditions, individual fatigue variability challenges, long-term research funding requirements. Furthermore, we anticipate that the proposed changes will significantly impact public safety, scientific integrity, driver health.

Based on these considerations, we strongly recommend the following: Draft a technical comment presenting sleep science evidence on crash risk from fatigue, supporting science-based HOS reforms, and recommending fatigue risk management systems.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Dr. Charles Czeisler, Sleep and Fatigue Scientist
Harvard Medical School Division of Sleep Medicine"
"Sandra Williams, Long-Haul Truck Driver",,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - None

I am writing as an individual with significant experience in OTR team driver running 48-state operations to share my perspective on the proposed safety regulations.

Our perspective is informed by several critical operational constraints, including truck parking shortage forces unsafe rest decisions, limited healthy food access at truck stops, safety concerns as a female driver at rest areas. Furthermore, we anticipate that the proposed changes will significantly impact driver health, public safety, quality of life.

Based on these considerations, we strongly recommend the following: Describing truck parking shortage impacts on driver safety, requesting rest area improvements, and advocating for driver health and wellness resources.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Sandra Williams, Long-Haul Truck Driver
None"
Heartland Express Inc.,Heartland Express Inc.,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Heartland Express Inc.

Heartland Express Inc. operates extensive networks involving short-to-medium haul truckload carrier, fleet of 5,000+ tractors across multiple operating companies. We are committed to safety and operational excellence and offer these insights based on our extensive field experience.

Our perspective is informed by several critical operational constraints, including short-haul HOS exceptions critical to operations, driver domicile and return-to-base patterns, acquisition integration of multiple carrier brands. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, operational burden, implementation timeline.

Based on these considerations, we strongly recommend the following: Supporting short-haul HOS exceptions, requesting flexibility for relay operations, and opposing changes that disrupt domicile-based driving patterns.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Heartland Express Inc.
Heartland Express Inc."
Parents Against Tired Truckers,Parents Against Tired Truckers,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Parents Against Tired Truckers

On behalf of Parents Against Tired Truckers, an organization dedicated to fatigue-related truck crash victim advocacy, hours of service reform campaigns, we submit these comments to ensure that public safety remains the paramount consideration in this rulemaking process.

Our perspective is informed by several critical operational constraints, including personal tragedy-driven advocacy, grassroots volunteer organization, competing against well-funded industry lobbying. Furthermore, we anticipate that the proposed changes will significantly impact public safety, crash reduction, driver health.

Based on these considerations, we strongly recommend the following: From crash victim families demanding stricter fatigue rules, opposing HOS rollbacks, and citing preventable crash fatality data.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Parents Against Tired Truckers
Parents Against Tired Truckers"
Truckload Carriers Association,Truckload Carriers Association,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Truckload Carriers Association

The Truckload Carriers Association represents a vital sector of the transportation industry, specifically focused on truckload segment carrier advocacy, fleet safety awards and benchmarking programs. We appreciate the opportunity to comment on the proposed regulatory changes.

Our perspective is informed by several critical operational constraints, including driver shortage impact on member carriers, insurance market hardening for trucking, shipper pressure on rates and schedules. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, driver retention, economic impact.

Based on these considerations, we strongly recommend the following: Requesting regulations that don't worsen the driver shortage, supporting entry-level driver training standards, and proposing safety incentive programs.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Truckload Carriers Association
Truckload Carriers Association"
FedEx Freight,FedEx Freight,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - FedEx Freight

FedEx Freight operates extensive networks involving LTL freight carrier with nationwide service network, fleet of 14,000+ tractors and 70,000+ trailers. We are committed to safety and operational excellence and offer these insights based on our extensive field experience.

Our perspective is informed by several critical operational constraints, including LTL dock-to-dock operations require different HOS considerations, driver return-to-domicile scheduling, technology standardization across large fleet. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, operational burden, implementation timeline.

Based on these considerations, we strongly recommend the following: Requesting LTL-specific regulatory considerations, supporting technology-based compliance alternatives, and requesting adequate implementation timelines for fleet-wide changes.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

FedEx Freight
FedEx Freight"
National Motorists Association,National Motorists Association,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - National Motorists Association

On behalf of National Motorists Association, an organization dedicated to motorist rights and highway safety advocacy, speed limit and traffic enforcement policy, we submit these comments to ensure that public safety remains the paramount consideration in this rulemaking process.

Our perspective is informed by several critical operational constraints, including passenger vehicle driver perspective on truck safety, limited organizational resources, public awareness of truck crash risk factors. Furthermore, we anticipate that the proposed changes will significantly impact public safety, crash reduction, community impact.

Based on these considerations, we strongly recommend the following: From the passenger vehicle driver perspective supporting truck safety improvements, speed limiter mandates, and underride guard requirements.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

National Motorists Association
National Motorists Association"
Texas Department of Public Safety,Texas Department of Public Safety,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Texas Department of Public Safety

I am writing as an individual with significant experience in CMV enforcement on Texas highways to share my perspective on the proposed safety regulations.

Our perspective is informed by several critical operational constraints, including highest truck VMT and crash volume of any state, border crossing commercial vehicle inspection demands, state trooper CMV enforcement staffing. Furthermore, we anticipate that the proposed changes will significantly impact regulatory enforcement, public safety, implementation timeline.

Based on these considerations, we strongly recommend the following: Supporting enhanced MCSAP funding for border states, uniform inspection standards, and technology to improve roadside enforcement efficiency.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Texas Department of Public Safety
Texas Department of Public Safety"
"Dr. Ronald Knipling, CMV Safety Researcher",Virginia Tech Transportation Institute (Retired),Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Virginia Tech Transportation Institute (Retired)

As a researcher at Virginia Tech Transportation Institute (Retired) specializing in large truck crash causation analysis (LTCCS), I am providing this technical assessment to assist the FMCSA in grounding its final rule in robust, peer-reviewed evidence.

Our perspective is informed by several critical operational constraints, including naturalistic driving study data interpretation, crash causation methodology complexity, industry vs. advocacy interpretation of findings. Furthermore, we anticipate that the proposed changes will significantly impact public safety, scientific integrity, crash reduction.

Based on these considerations, we strongly recommend the following: Draft a technical comment presenting crash causation research findings, supporting evidence-based safety countermeasures, and recommending research priorities for FMCSA.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Dr. Ronald Knipling, CMV Safety Researcher
Virginia Tech Transportation Institute (Retired)"
"Danny Garcia, Local Delivery Driver",,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - None

I am writing as an individual with significant experience in CDL-B driver for regional building materials distributor to share my perspective on the proposed safety regulations.

Our perspective is informed by several critical operational constraints, including short-haul exception critical to daily schedule, loading and unloading time counts against HOS, seasonal construction demand peaks. Furthermore, we anticipate that the proposed changes will significantly impact operational burden, driver autonomy, economic impact.

Based on these considerations, we strongly recommend the following: Supporting the short-haul exception, opposing HOS changes that don't account for local delivery operations, and requesting on-duty non-driving time flexibility.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Danny Garcia, Local Delivery Driver
None"
Maverick Transportation LLC,Maverick Transportation LLC,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Maverick Transportation LLC

As a small business owner operating in the specialized flatbed and glass hauling space, I am writing to share how the proposed rules will directly impact my company's daily operations and long-term viability.

Our perspective is informed by several critical operational constraints, including specialized freight requires additional securement time, load securement time not adequately reflected in HOS, seasonal demand fluctuations for construction materials. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, operational burden, driver retention.

Based on these considerations, we strongly recommend the following: Requesting HOS accommodations for specialized freight operations, recognition of load securement as non-driving duty, and specialized carrier safety data consideration.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Maverick Transportation LLC
Maverick Transportation LLC"
National School Transportation Association,National School Transportation Association,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - National School Transportation Association

The National School Transportation Association represents a vital sector of the transportation industry, specifically focused on private school bus contractor advocacy, school bus driver qualification standards. We appreciate the opportunity to comment on the proposed regulatory changes.

Our perspective is informed by several critical operational constraints, including split-shift scheduling for morning and afternoon routes, CDL-B school bus endorsement driver shortage, child passenger safety as paramount concern. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, driver retention, public safety.

Based on these considerations, we strongly recommend the following: Requesting school bus-specific HOS provisions for split shifts, streamlined CDL-B testing for school bus endorsement, and child safety technology support.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

National School Transportation Association
National School Transportation Association"
XPO Inc.,XPO Inc.,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - XPO Inc.

XPO Inc. operates extensive networks involving LTL freight transportation and brokerage services, fleet of 13,000+ tractors with 600+ service centers. We are committed to safety and operational excellence and offer these insights based on our extensive field experience.

Our perspective is informed by several critical operational constraints, including LTL network hub-and-spoke overnight linehaul operations, driver scheduling for city pickup/delivery and linehaul, cross-dock operations and multi-stop routing. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, operational burden, implementation timeline.

Based on these considerations, we strongly recommend the following: Requesting LTL-specific HOS considerations for linehaul and city drivers, supporting automated compliance tools, and requesting split-sleeper berth flexibility.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

XPO Inc.
XPO Inc."
Insurance Institute for Highway Safety,Insurance Institute for Highway Safety,Supportive,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - Insurance Institute for Highway Safety

On behalf of Insurance Institute for Highway Safety, an organization dedicated to highway safety research and crash testing, large truck crashworthiness and underride evaluation, we submit these comments to ensure that public safety remains the paramount consideration in this rulemaking process.

Our perspective is informed by several critical operational constraints, including insurance industry funding and perspective, crash test methodology standards, real-world crash data access requirements. Furthermore, we anticipate that the proposed changes will significantly impact public safety, crash reduction, scientific integrity.

Based on these considerations, we strongly recommend the following: Presenting crash research data supporting underride guard standards, speed limiters, and automatic emergency braking mandates for heavy trucks.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Insurance Institute for Highway Safety
Insurance Institute for Highway Safety"
Household Goods Carriers' Bureau,American Trucking Associations Household Goods Conference,Concerned,"May 10, 2026

To: Federal Motor Carrier Safety Administration (FMCSA)
U.S. Department of Transportation
1200 New Jersey Avenue SE
Washington, DC 20590

Re: Formal Comments regarding Proposed Rulemaking - American Trucking Associations Household Goods Conference

The American Trucking Associations Household Goods Conference represents a vital sector of the transportation industry, specifically focused on household goods moving industry advocacy, consumer protection and fraud prevention. We appreciate the opportunity to comment on the proposed regulatory changes.

Our perspective is informed by several critical operational constraints, including seasonal peak demand (summer moving season), HOS challenges for multi-day residential moves, rogue mover enforcement coordination with FMCSA. Furthermore, we anticipate that the proposed changes will significantly impact compliance cost, operational burden, consumer protection.

Based on these considerations, we strongly recommend the following: Requesting HOS flexibility for household goods drivers during loading and transit, enhanced rogue mover enforcement, and seasonal peak capacity provisions.

We trust the FMCSA will carefully weigh these operational and safety considerations before finalizing the rule. Thank you for your leadership in improving roadway safety.

Sincerely,

Household Goods Carriers' Bureau
American Trucking Associations Household Goods Conference"
